Group,Gene
Parkinson,ADAR
Parkinson,ATP13A2
Parkinson,ATP1A3
Parkinson,ATP6AP2
Parkinson,ATP7B
Parkinson,C19orf12
Parkinson,C9orf3
Parkinson,CHCHD2
Parkinson,CLN3
Parkinson,CP
Parkinson,CSF1R
Parkinson,CYP27A1
Parkinson,DCTN1
Parkinson,DNAJC12
Parkinson,DNAJC5
Parkinson,DNAJC6
Parkinson,EIF2AK2
Parkinson,FBXO7
Parkinson,FOXG1
Parkinson,FRRS1L
Parkinson,FTL
Parkinson,GBA
Parkinson,GCH1
Parkinson,GLB1
Parkinson,GRN
Parkinson,KIAA1161
Parkinson,KMT2B
Parkinson,LRRK2
Parkinson,LYST
Parkinson,MAPT
Parkinson,MECP2
Parkinson,NPC1
Parkinson,NPC2
Parkinson,NR4A2
Parkinson,NUS1
Parkinson,PANK2
Parkinson,PARK7
Parkinson,PDE8B
Parkinson,PDGFB
Parkinson,PDGFRB
Parkinson,PGK1
Parkinson,PINK1
Parkinson,PLA2G6
Parkinson,POLG
Parkinson,POLR3A
Parkinson,PPP2R5D
Parkinson,PRKCG
Parkinson,PRKN
Parkinson,PRKRA
Parkinson,PRNP
Parkinson,PSAP
Parkinson,PSEN1
Parkinson,PSMF1
Parkinson,PTRHD1
Parkinson,PTS
Parkinson,QDPR
Parkinson,RAB39B
Parkinson,SCN1A
Parkinson,SERAC1
Parkinson,SLC18A2
Parkinson,SLC19A3
Parkinson,SLC20A2
Parkinson,SLC30A10
Parkinson,SLC39A14
Parkinson,SLC6A3
Parkinson,SNCA
Parkinson,SOX6
Parkinson,SPG11
Parkinson,SPG7
Parkinson,SPR
Parkinson,STUB1
Parkinson,STXBP1
Parkinson,SYNJ1
Parkinson,TBC1D24
Parkinson,TH
Parkinson,TPP1
Parkinson,TWNK
Parkinson,UBTF
Parkinson,VAC14
Parkinson,VCP
Parkinson,VPS13A
Parkinson,VPS13C
Parkinson,VPS35
Parkinson,WARS2
Parkinson,WDR45
Parkinson,XPR1
Parkinson,ZFYVE26
Parkinson,ATXN1
Parkinson,C9orf72
Parkinson,FMR1
Parkinson,HTT
Parkinson,NOTCH2NL
Parkinson,TAF1
Dementia,APP
Dementia,ARSA
Dementia,ATP13A2
Dementia,C19orf12
Dementia,CHCHD10
Dementia,CHMP2B
Dementia,CLN6
Dementia,COL4A1
Dementia,CP
Dementia,CSF1R
Dementia,CST3
Dementia,CTSF
Dementia,CYP27A1
Dementia,DCTN1
Dementia,DNAJC5
Dementia,DNMT1
Dementia,EPM2A
Dementia,FTL
Dementia,FUS
Dementia,GLA
Dementia,GRN
Dementia,HTRA1
Dementia,ITM2B
Dementia,LRRK2
Dementia,MAPT
Dementia,NHLRC1
Dementia,NOTCH3
Dementia,NPC1
Dementia,NPC2
Dementia,OPTN
Dementia,PANK2
Dementia,PARK7
Dementia,PINK1
Dementia,PLA2G6
Dementia,PRKN
Dementia,PSEN1
Dementia,PSEN2
Dementia,RNF216
Dementia,SNCA
Dementia,SPG11
Dementia,SPG21
Dementia,STUB1
Dementia,TARDBP
Dementia,TBK1
Dementia,TREM2
Dementia,TREX1
Dementia,TTR
Dementia,TUBA4A
Dementia,TYROBP
Dementia,UBQLN2
Dementia,VCP
Dementia,VPS13A
Dementia,VPS13C
Dementia,VPS35
Dementia,WDR45
Dementia,XK
Dementia,PRNP
Dementia,ATN1
Dementia,C9orf72
Dementia,JPH3
Dementia,NOTCH2NL
Dementia,TBP